2019-06-24 16:00:55,406 | imap_monitor | INFO | connecting to IMAP server - imap.gmail.com
2019-06-24 16:00:55,410 | imap_monitor | ERROR | failed to connect to IMAP server - DoesNotExist: ImapAccount matching query does not exist.; 
2019-06-24 16:01:05,384 | imap_monitor | INFO | connecting to IMAP server - imap.gmail.com
2019-06-24 16:01:05,389 | imap_monitor | ERROR | failed to connect to IMAP server - DoesNotExist: ImapAccount matching query does not exist.; 
2019-06-24 16:01:13,353 | imap_monitor | INFO | connecting to IMAP server - imap.gmail.com
2019-06-24 16:01:13,601 | imap_monitor | INFO | server connection established
2019-06-24 16:01:13,602 | imap_monitor | INFO | selecting IMAP folder - INBOX
2019-06-24 16:01:13,663 | imap_monitor | INFO | folder selected
2019-06-24 16:01:14,786 | imap_monitor | INFO | no new messages seen
2019-06-24 16:01:15,885 | imap_monitor | INFO | no new messages seen
2019-06-24 16:01:16,985 | imap_monitor | INFO | no new messages seen
2019-06-24 16:01:18,085 | imap_monitor | INFO | no new messages seen
2019-06-24 16:01:19,179 | imap_monitor | INFO | no new messages seen
2019-06-24 16:01:20,272 | imap_monitor | INFO | no new messages seen
2019-06-24 16:01:21,370 | imap_monitor | INFO | no new messages seen
2019-06-24 16:01:22,472 | imap_monitor | INFO | no new messages seen
2019-06-24 16:01:23,573 | imap_monitor | INFO | no new messages seen
2019-06-24 16:01:24,687 | imap_monitor | INFO | no new messages seen
2019-06-24 16:01:25,787 | imap_monitor | INFO | no new messages seen
2019-06-24 16:01:26,890 | imap_monitor | INFO | no new messages seen
2019-06-24 16:01:27,985 | imap_monitor | INFO | no new messages seen
2019-06-24 16:01:29,077 | imap_monitor | INFO | no new messages seen
2019-06-24 16:01:30,177 | imap_monitor | INFO | no new messages seen
2019-06-24 16:01:31,270 | imap_monitor | INFO | no new messages seen
2019-06-24 16:01:32,364 | imap_monitor | INFO | no new messages seen
2019-06-24 16:01:33,422 | imap_monitor | INFO | no new messages seen
2019-06-24 16:01:34,524 | imap_monitor | INFO | no new messages seen
2019-06-24 16:01:35,619 | imap_monitor | INFO | no new messages seen
2019-06-24 16:01:36,719 | imap_monitor | INFO | no new messages seen
2019-06-24 16:01:37,821 | imap_monitor | INFO | no new messages seen
2019-06-24 16:01:38,981 | imap_monitor | INFO | no new messages seen
2019-06-24 16:01:40,072 | imap_monitor | INFO | no new messages seen
2019-06-24 16:01:41,170 | imap_monitor | INFO | no new messages seen
2019-06-24 16:01:42,272 | imap_monitor | INFO | no new messages seen
2019-06-24 16:01:43,370 | imap_monitor | INFO | no new messages seen
2019-06-24 16:01:44,466 | imap_monitor | INFO | no new messages seen
2019-06-24 16:01:45,556 | imap_monitor | INFO | no new messages seen
2019-06-24 16:01:46,656 | imap_monitor | INFO | no new messages seen
2019-06-24 16:01:47,759 | imap_monitor | INFO | no new messages seen
2019-06-24 16:01:48,875 | imap_monitor | INFO | no new messages seen
2019-06-24 16:01:49,968 | imap_monitor | INFO | no new messages seen
2019-06-24 16:01:51,068 | imap_monitor | INFO | no new messages seen
